max_depth	min_split	ganancia_promedio	
6	340	47328000	1
6	340	47328000	2
6	340	47328000	3
6	340	47328000	4
6	340	47328000	5
6	340	47328000	6
6	340	47328000	7
6	340	47328000	8
6	340	47328000	9
6	340	47328000	10
6	340	47328000	11
6	340	47328000	12
6	340	47328000	13
6	340	47328000	14
6	340	47328000	15
6	340	47328000	16
6	340	47328000	17
6	340	47328000	18
6	310	47318000	19
6	310	47318000	20
6	310	47318000	21
6	310	47318000	22
6	310	47318000	23
6	310	47318000	24
6	310	47318000	25
6	310	47318000	26
6	310	47318000	27
6	310	47318000	28
6	310	47318000	29
6	310	47318000	30
6	310	47318000	31
6	310	47318000	32
6	310	47318000	33
6	310	47318000	34
6	310	47318000	35
6	310	47318000	36
6	290	47318000	37
6	290	47318000	38
6	290	47318000	39
6	290	47318000	40
6	290	47318000	41
6	290	47318000	42
6	290	47318000	43
6	290	47318000	44
6	290	47318000	45
6	290	47318000	46
6	290	47318000	47
6	290	47318000	48
6	290	47318000	49
6	290	47318000	50
6	290	47318000	51
6	290	47318000	52
6	290	47318000	53
6	290	47318000	54
6	400	47246000	55
6	400	47246000	56
6	400	47246000	57
6	400	47246000	58
6	400	47246000	59
6	400	47246000	60
6	400	47246000	61
6	400	47246000	62
6	400	47246000	63
6	400	47246000	64
6	400	47246000	65
6	400	47246000	66
6	400	47246000	67
6	400	47246000	68
6	400	47246000	69
6	400	47246000	70
6	400	47246000	71
6	400	47246000	72
6	370	47246000	73
6	370	47246000	74
6	370	47246000	75
6	370	47246000	76
6	370	47246000	77
6	370	47246000	78
6	370	47246000	79
6	370	47246000	80
6	370	47246000	81
6	370	47246000	82
6	370	47246000	83
6	370	47246000	84
6	370	47246000	85
6	370	47246000	86
6	370	47246000	87
6	370	47246000	88
6	370	47246000	89
6	370	47246000	90
6	200	47078000	91
6	200	47078000	92
6	200	47078000	93
6	200	47078000	94
6	200	47078000	95
6	200	47078000	96
6	200	47078000	97
6	200	47078000	98
6	200	47078000	99
6	200	47078000	100
6	200	47078000	101
6	200	47078000	102
6	200	47078000	103
6	200	47078000	104
6	200	47078000	105
6	200	47078000	106
6	200	47078000	107
6	200	47078000	108
6	210	47012000	109
6	210	47012000	110
6	210	47012000	111
6	210	47012000	112
6	210	47012000	113
6	210	47012000	114
6	210	47012000	115
6	210	47012000	116
6	210	47012000	117
6	210	47012000	118
6	210	47012000	119
6	210	47012000	120
6	210	47012000	121
6	210	47012000	122
6	210	47012000	123
6	210	47012000	124
6	210	47012000	125
6	210	47012000	126
6	250	47006000	127
6	250	47006000	128
6	250	47006000	129
6	250	47006000	130
6	250	47006000	131
6	250	47006000	132
6	250	47006000	133
6	250	47006000	134
6	250	47006000	135
6	250	47006000	136
6	250	47006000	137
6	250	47006000	138
6	250	47006000	139
6	250	47006000	140
6	250	47006000	141
6	250	47006000	142
6	250	47006000	143
6	250	47006000	144
6	220	47006000	145
6	220	47006000	146
6	220	47006000	147
6	220	47006000	148
6	220	47006000	149
6	220	47006000	150
6	220	47006000	151
6	220	47006000	152
6	220	47006000	153
6	220	47006000	154
6	220	47006000	155
6	220	47006000	156
6	220	47006000	157
6	220	47006000	158
6	220	47006000	159
6	220	47006000	160
6	220	47006000	161
6	220	47006000	162
4	400	46762000	163
4	400	46762000	164
4	400	46762000	165
4	400	46762000	166
4	400	46762000	167
4	400	46762000	168
4	400	46762000	169
4	400	46762000	170
4	400	46762000	171
4	400	46762000	172
4	400	46762000	173
4	400	46762000	174
4	400	46762000	175
4	400	46762000	176
4	400	46762000	177
4	400	46762000	178
4	400	46762000	179
4	400	46762000	180
4	370	46762000	181
4	370	46762000	182
4	370	46762000	183
4	370	46762000	184
4	370	46762000	185
4	370	46762000	186
4	370	46762000	187
4	370	46762000	188
4	370	46762000	189
4	370	46762000	190
4	370	46762000	191
4	370	46762000	192
4	370	46762000	193
4	370	46762000	194
4	370	46762000	195
4	370	46762000	196
4	370	46762000	197
4	370	46762000	198
4	340	46762000	199
4	340	46762000	200
4	340	46762000	201
4	340	46762000	202
4	340	46762000	203
4	340	46762000	204
4	340	46762000	205
4	340	46762000	206
4	340	46762000	207
4	340	46762000	208
4	340	46762000	209
4	340	46762000	210
4	340	46762000	211
4	340	46762000	212
4	340	46762000	213
4	340	46762000	214
4	340	46762000	215
4	340	46762000	216
4	310	46762000	217
4	310	46762000	218
4	310	46762000	219
4	310	46762000	220
4	310	46762000	221
4	310	46762000	222
4	310	46762000	223
4	310	46762000	224
4	310	46762000	225
4	310	46762000	226
4	310	46762000	227
4	310	46762000	228
4	310	46762000	229
4	310	46762000	230
4	310	46762000	231
4	310	46762000	232
4	310	46762000	233
4	310	46762000	234
4	290	46762000	235
4	290	46762000	236
4	290	46762000	237
4	290	46762000	238
4	290	46762000	239
4	290	46762000	240
4	290	46762000	241
4	290	46762000	242
4	290	46762000	243
4	290	46762000	244
4	290	46762000	245
4	290	46762000	246
4	290	46762000	247
4	290	46762000	248
4	290	46762000	249
4	290	46762000	250
4	290	46762000	251
4	290	46762000	252
4	250	46762000	253
4	250	46762000	254
4	250	46762000	255
4	250	46762000	256
4	250	46762000	257
4	250	46762000	258
4	250	46762000	259
4	250	46762000	260
4	250	46762000	261
4	250	46762000	262
4	250	46762000	263
4	250	46762000	264
4	250	46762000	265
4	250	46762000	266
4	250	46762000	267
4	250	46762000	268
4	250	46762000	269
4	250	46762000	270
4	220	46762000	271
4	220	46762000	272
4	220	46762000	273
4	220	46762000	274
4	220	46762000	275
4	220	46762000	276
4	220	46762000	277
4	220	46762000	278
4	220	46762000	279
4	220	46762000	280
4	220	46762000	281
4	220	46762000	282
4	220	46762000	283
4	220	46762000	284
4	220	46762000	285
4	220	46762000	286
4	220	46762000	287
4	220	46762000	288
4	210	46762000	289
4	210	46762000	290
4	210	46762000	291
4	210	46762000	292
4	210	46762000	293
4	210	46762000	294
4	210	46762000	295
4	210	46762000	296
4	210	46762000	297
4	210	46762000	298
4	210	46762000	299
4	210	46762000	300
4	210	46762000	301
4	210	46762000	302
4	210	46762000	303
4	210	46762000	304
4	210	46762000	305
4	210	46762000	306
4	200	46762000	307
4	200	46762000	308
4	200	46762000	309
4	200	46762000	310
4	200	46762000	311
4	200	46762000	312
4	200	46762000	313
4	200	46762000	314
4	200	46762000	315
4	200	46762000	316
4	200	46762000	317
4	200	46762000	318
4	200	46762000	319
4	200	46762000	320
4	200	46762000	321
4	200	46762000	322
4	200	46762000	323
4	200	46762000	324
5	200	46688000	325
5	200	46688000	326
5	200	46688000	327
5	200	46688000	328
5	200	46688000	329
5	200	46688000	330
5	200	46688000	331
5	200	46688000	332
5	200	46688000	333
5	200	46688000	334
5	200	46688000	335
5	200	46688000	336
5	200	46688000	337
5	200	46688000	338
5	200	46688000	339
5	200	46688000	340
5	200	46688000	341
5	200	46688000	342
5	250	46622000	343
5	250	46622000	344
5	250	46622000	345
5	250	46622000	346
5	250	46622000	347
5	250	46622000	348
5	250	46622000	349
5	250	46622000	350
5	250	46622000	351
5	250	46622000	352
5	250	46622000	353
5	250	46622000	354
5	250	46622000	355
5	250	46622000	356
5	250	46622000	357
5	250	46622000	358
5	250	46622000	359
5	250	46622000	360
5	220	46622000	361
5	220	46622000	362
5	220	46622000	363
5	220	46622000	364
5	220	46622000	365
5	220	46622000	366
5	220	46622000	367
5	220	46622000	368
5	220	46622000	369
5	220	46622000	370
5	220	46622000	371
5	220	46622000	372
5	220	46622000	373
5	220	46622000	374
5	220	46622000	375
5	220	46622000	376
5	220	46622000	377
5	220	46622000	378
5	210	46622000	379
5	210	46622000	380
5	210	46622000	381
5	210	46622000	382
5	210	46622000	383
5	210	46622000	384
5	210	46622000	385
5	210	46622000	386
5	210	46622000	387
5	210	46622000	388
5	210	46622000	389
5	210	46622000	390
5	210	46622000	391
5	210	46622000	392
5	210	46622000	393
5	210	46622000	394
5	210	46622000	395
5	210	46622000	396
5	400	46610000	397
5	400	46610000	398
5	400	46610000	399
5	400	46610000	400
5	400	46610000	401
5	400	46610000	402
5	400	46610000	403
5	400	46610000	404
5	400	46610000	405
5	400	46610000	406
5	400	46610000	407
5	400	46610000	408
5	400	46610000	409
5	400	46610000	410
5	400	46610000	411
5	400	46610000	412
5	400	46610000	413
5	400	46610000	414
5	370	46610000	415
5	370	46610000	416
5	370	46610000	417
5	370	46610000	418
5	370	46610000	419
5	370	46610000	420
5	370	46610000	421
5	370	46610000	422
5	370	46610000	423
5	370	46610000	424
5	370	46610000	425
5	370	46610000	426
5	370	46610000	427
5	370	46610000	428
5	370	46610000	429
5	370	46610000	430
5	370	46610000	431
5	370	46610000	432
5	340	46610000	433
5	340	46610000	434
5	340	46610000	435
5	340	46610000	436
5	340	46610000	437
5	340	46610000	438
5	340	46610000	439
5	340	46610000	440
5	340	46610000	441
5	340	46610000	442
5	340	46610000	443
5	340	46610000	444
5	340	46610000	445
5	340	46610000	446
5	340	46610000	447
5	340	46610000	448
5	340	46610000	449
5	340	46610000	450
5	310	46610000	451
5	310	46610000	452
5	310	46610000	453
5	310	46610000	454
5	310	46610000	455
5	310	46610000	456
5	310	46610000	457
5	310	46610000	458
5	310	46610000	459
5	310	46610000	460
5	310	46610000	461
5	310	46610000	462
5	310	46610000	463
5	310	46610000	464
5	310	46610000	465
5	310	46610000	466
5	310	46610000	467
5	310	46610000	468
5	290	46610000	469
5	290	46610000	470
5	290	46610000	471
5	290	46610000	472
5	290	46610000	473
5	290	46610000	474
5	290	46610000	475
5	290	46610000	476
5	290	46610000	477
5	290	46610000	478
5	290	46610000	479
5	290	46610000	480
5	290	46610000	481
5	290	46610000	482
5	290	46610000	483
5	290	46610000	484
5	290	46610000	485
5	290	46610000	486
